OrderID,OrderDate,Region,Country,Salesperson,Product,Category,Units,UnitPrice,Revenue,Cost,Customer
ORD-1001,2025-01-05,Dubai,UAE,Aisha Khan,Product A,Electronics,12,120,1440,900,Acme Corp
ORD-1002,2025-01-08,Abu Dhabi,UAE,James Lee,Product B,Electronics,8,200,1600,1100,Blue Ocean
ORD-1003,2025-01-12,Dubai,UAE,Aisha Khan,Product C,Home,20,45,900,500,Desert Retail
ORD-1004,2025-01-18,Sharjah,UAE,Priya Shah,Product A,Electronics,5,120,600,375,City Mart
ORD-1005,2025-01-22,Dubai,UAE,James Lee,Product D,Fashion,15,80,1200,720,Acme Corp
ORD-1006,2025-02-03,Abu Dhabi,UAE,Aisha Khan,Product B,Electronics,10,200,2000,1375,Nova Trading
ORD-1007,2025-02-09,Dubai,UAE,Priya Shah,Product A,Electronics,18,120,2160,1350,Blue Ocean
ORD-1008,2025-02-14,Dubai,UAE,James Lee,Product E,Home,7,150,1050,630,Desert Retail
ORD-1009,2025-02-20,Abu Dhabi,UAE,Aisha Khan,Product C,Home,25,45,1125,625,City Mart
ORD-1010,2025-02-25,Sharjah,UAE,Priya Shah,Product D,Fashion,9,80,720,432,Nova Trading
ORD-1011,2025-03-04,Dubai,UAE,James Lee,Product A,Electronics,14,120,1680,1050,Acme Corp
ORD-1012,2025-03-10,Abu Dhabi,UAE,Aisha Khan,Product B,Electronics,6,200,1200,825,Blue Ocean
ORD-1013,2025-03-15,Dubai,UAE,Priya Shah,Product F,Fashion,30,55,1650,990,Desert Retail
ORD-1014,2025-03-21,Dubai,UAE,James Lee,Product A,Electronics,4,120,480,300,City Mart
ORD-1015,2025-03-28,Sharjah,UAE,Aisha Khan,Product C,Home,11,45,495,275,Nova Trading
ORD-1016,2025-04-02,Dubai,UAE,Priya Shah,Product B,Electronics,16,200,3200,2200,Acme Corp
ORD-1017,2025-04-08,Abu Dhabi,UAE,James Lee,Product D,Fashion,12,80,960,576,Blue Ocean
ORD-1018,2025-04-14,Dubai,UAE,Aisha Khan,Product E,Home,8,150,1200,720,Desert Retail
ORD-1019,2025-04-19,Dubai,UAE,Priya Shah,Product A,Electronics,22,120,2640,1650,City Mart
ORD-1020,2025-04-26,Sharjah,UAE,James Lee,Product F,Fashion,10,55,550,330,Nova Trading
ORD-1021,2025-05-03,Dubai,UAE,Aisha Khan,Product B,Electronics,9,200,1800,1237.5,Acme Corp
ORD-1022,2025-05-09,Abu Dhabi,UAE,Priya Shah,Product A,Electronics,13,120,1560,975,Blue Ocean
ORD-1023,2025-05-16,Dubai,UAE,James Lee,Product C,Home,17,45,765,425,Desert Retail
ORD-1024,2025-05-22,Dubai,UAE,Aisha Khan,Product D,Fashion,20,80,1600,960,City Mart
ORD-1025,2025-05-29,Sharjah,UAE,Priya Shah,Product E,Home,5,150,750,450,Nova Trading
ORD-1026,2025-06-05,Dubai,UAE,James Lee,Product A,Electronics,7,120,840,525,Acme Corp
ORD-1027,2025-06-11,Abu Dhabi,UAE,Aisha Khan,Product B,Electronics,11,200,2200,1512.5,Blue Ocean
ORD-1028,2025-06-18,Dubai,UAE,Priya Shah,Product F,Fashion,14,55,770,462,Desert Retail
ORD-1029,2025-06-24,Dubai,UAE,James Lee,Product C,Home,19,45,855,475,City Mart
ORD-1030,2025-06-30,Sharjah,UAE,Aisha Khan,Product A,Electronics,15,120,1800,1125,Nova Trading
